Resort;Service;Sales_Person;Revenue
Bahamas Beach;Fast Food;Fischer;1280
Bahamas Beach;Fast Food;Fischer;1440
Bahamas Beach;Fast Food;Fischer;720
Bahamas Beach;Fast Food;Fischer;1440
Bahamas Beach;Fast Food;Fischer;2240
Hawaiian Club;Bungalow;Fischer;4800
Hawaiian Club;Bungalow;Fischer;4500
Hawaiian Club;Bungalow;Fischer;6000
Hawaiian Club;Bungalow;Fischer;2400
Hawaiian Club;Bungalow;Fischer;4200
Hawaiian Club;Bungalow;Fischer;4500
Hawaiian Club;Bungalow;Fischer;6000
Hawaiian Club;Bungalow;Fischer;4800
Hawaiian Club;Bungalow;Fischer;6000
Hawaiian Club;Bungalow;Fischer;4500
Hawaiian Club;Bungalow;Fischer;6000
Hawaiian Club;Bungalow;Fischer;2400
Hawaiian Club;Fast Food;Fischer;3360
Hawaiian Club;Fast Food;Fischer;3150
Hawaiian Club;Fast Food;Fischer;4200
Hawaiian Club;Fast Food;Fischer;1680
Hawaiian Club;Fast Food;Fischer;2940
Hawaiian Club;Fast Food;Fischer;3150
Hawaiian Club;Fast Food;Fischer;4200
Hawaiian Club;Fast Food;Fischer;2940
Hawaiian Club;Fast Food;Fischer;4200
Hawaiian Club;Fast Food;Fischer;3150
Hawaiian Club;Fast Food;Fischer;4200
Hawaiian Club;Fast Food;Fischer;1680
Bahamas Beach;Hotel Room;Fischer;5376
Bahamas Beach;Activities;Fischer;5600
French Riviera;Bungalow;Ishimoto;3840
French Riviera;Bungalow;Ishimoto;4800
French Riviera;Bungalow;Ishimoto;3840
French Riviera;Bungalow;Ishimoto;1440
French Riviera;Bungalow;Ishimoto;3840
French Riviera;Bungalow;Ishimoto;4800
French Riviera;Bungalow;Ishimoto;4800
French Riviera;Bungalow;Ishimoto;1920
French Riviera;Bungalow;Ishimoto;3360
French Riviera;Bungalow;Ishimoto;4200
French Riviera;Bungalow;Ishimoto;3360
French Riviera;Bungalow;Ishimoto;1920
French Riviera;Hotel Suite;Ishimoto;9720
French Riviera;Hotel Suite;Ishimoto;11340
French Riviera;Hotel Suite;Ishimoto;9720
French Riviera;Hotel Suite;Ishimoto;3780
French Riviera;Hotel Suite;Ishimoto;9720
French Riviera;Hotel Suite;Ishimoto;11340
French Riviera;Hotel Suite;Ishimoto;11340
French Riviera;Hotel Suite;Ishimoto;3240
French Riviera;Hotel Suite;Ishimoto;8100
French Riviera;Hotel Suite;Ishimoto;11340
French Riviera;Hotel Suite;Ishimoto;9720
French Riviera;Hotel Suite;Ishimoto;3240
French Riviera;Poolside Bar;Ishimoto;1920
French Riviera;Poolside Bar;Ishimoto;2400
French Riviera;Poolside Bar;Ishimoto;1920
French Riviera;Poolside Bar;Ishimoto;1680
French Riviera;Poolside Bar;Ishimoto;1920
French Riviera;Poolside Bar;Ishimoto;2400
French Riviera;Poolside Bar;Ishimoto;1920
French Riviera;Poolside Bar;Ishimoto;1440
French Riviera;Poolside Bar;Ishimoto;1920
French Riviera;Poolside Bar;Ishimoto;2400
French Riviera;Poolside Bar;Ishimoto;1920
French Riviera;Poolside Bar;Ishimoto;1440
French Riviera;Excursion;Ishimoto;4900
French Riviera;Excursion;Ishimoto;7000
French Riviera;Excursion;Ishimoto;5600
French Riviera;Excursion;Ishimoto;2450
French Riviera;Excursion;Ishimoto;5600
French Riviera;Excursion;Ishimoto;7000
French Riviera;Excursion;Ishimoto;5600
French Riviera;Excursion;Ishimoto;2100
French Riviera;Excursion;Ishimoto;4900
French Riviera;Excursion;Ishimoto;6125
French Riviera;Excursion;Ishimoto;4900
French Riviera;Excursion;Ishimoto;2100
Bahamas Beach;Bungalow;Ishimoto;3200
Bahamas Beach;Bungalow;Ishimoto;3200
Bahamas Beach;Bungalow;Ishimoto;3200
Bahamas Beach;Bungalow;Ishimoto;3840
Bahamas Beach;Bungalow;Ishimoto;3840
Bahamas Beach;Bungalow;Ishimoto;3840
Bahamas Beach;Bungalow;Ishimoto;2560
Bahamas Beach;Bungalow;Ishimoto;3200
Bahamas Beach;Bungalow;Ishimoto;6720
Bahamas Beach;Bungalow;Ishimoto;3200
Bahamas Beach;Bungalow;Ishimoto;5600
Bahamas Beach;Hotel Room;Lingyuan;5376
Bahamas Beach;Hotel Suite;Ishimoto;8760
Bahamas Beach;Hotel Suite;Ishimoto;10512
Bahamas Beach;Hotel Suite;Ishimoto;8176
Bahamas Beach;Hotel Suite;Ishimoto;10512
Bahamas Beach;Hotel Suite;Ishimoto;12264
Bahamas Beach;Hotel Suite;Ishimoto;10512
Bahamas Beach;Hotel Suite;Ishimoto;8176
Bahamas Beach;Hotel Suite;Ishimoto;8176
Bahamas Beach;Hotel Suite;Ishimoto;10512
Bahamas Beach;Hotel Suite;Ishimoto;7008
Bahamas Beach;Hotel Suite;Ishimoto;5840
Bahamas Beach;Poolside Bar;Ishimoto;1360
Bahamas Beach;Poolside Bar;Ishimoto;1360
Bahamas Beach;Poolside Bar;Ishimoto;2040
Bahamas Beach;Poolside Bar;Ishimoto;1360
Bahamas Beach;Poolside Bar;Ishimoto;1360
Bahamas Beach;Poolside Bar;Ishimoto;1360
Bahamas Beach;Poolside Bar;Ishimoto;2380
Bahamas Beach;Poolside Bar;Ishimoto;1360
Bahamas Beach;Poolside Bar;Ishimoto;1360
Bahamas Beach;Poolside Bar;Ishimoto;1700
Bahamas Beach;Poolside Bar;Ishimoto;1360
Bahamas Beach;Restaurant;Lingyuan;2660
Bahamas Beach;Excursion;Ishimoto;1200
Bahamas Beach;Excursion;Ishimoto;1500
Bahamas Beach;Excursion;Ishimoto;1600
Bahamas Beach;Excursion;Ishimoto;1800
Bahamas Beach;Excursion;Ishimoto;1800
Bahamas Beach;Excursion;Ishimoto;1800
Bahamas Beach;Excursion;Ishimoto;2800
Bahamas Beach;Excursion;Ishimoto;1500
Bahamas Beach;Excursion;Ishimoto;1800
Bahamas Beach;Excursion;Ishimoto;1500
Bahamas Beach;Excursion;Ishimoto;3200
Hawaiian Club;Bungalow;Ishimoto;6000
Hawaiian Club;Bungalow;Ishimoto;4500
Hawaiian Club;Bungalow;Ishimoto;6000
Hawaiian Club;Bungalow;Ishimoto;2400
Hawaiian Club;Bungalow;Ishimoto;5400
Hawaiian Club;Bungalow;Ishimoto;4500
Hawaiian Club;Bungalow;Ishimoto;6000
Hawaiian Club;Bungalow;Ishimoto;3000
Hawaiian Club;Bungalow;Ishimoto;6000
Hawaiian Club;Bungalow;Ishimoto;4500
Hawaiian Club;Bungalow;Ishimoto;6000
Hawaiian Club;Bungalow;Ishimoto;2400
Hawaiian Club;Hotel Suite;Ishimoto;10620
Hawaiian Club;Hotel Suite;Ishimoto;8850
Hawaiian Club;Hotel Suite;Ishimoto;10620
Hawaiian Club;Hotel Suite;Ishimoto;10620
Hawaiian Club;Hotel Suite;Ishimoto;12390
Hawaiian Club;Hotel Suite;Ishimoto;10620
Hawaiian Club;Hotel Suite;Ishimoto;12390
Hawaiian Club;Hotel Suite;Ishimoto;10620
Hawaiian Club;Hotel Suite;Ishimoto;10620
Hawaiian Club;Hotel Suite;Ishimoto;8850
Hawaiian Club;Hotel Suite;Ishimoto;10620
Hawaiian Club;Hotel Suite;Ishimoto;10620
Hawaiian Club;Poolside Bar;Ishimoto;1280
Hawaiian Club;Poolside Bar;Ishimoto;960
Hawaiian Club;Poolside Bar;Ishimoto;1280
Hawaiian Club;Poolside Bar;Ishimoto;1280
Hawaiian Club;Poolside Bar;Ishimoto;1920
Hawaiian Club;Poolside Bar;Ishimoto;1600
Hawaiian Club;Poolside Bar;Ishimoto;1920
Hawaiian Club;Poolside Bar;Ishimoto;1280
Hawaiian Club;Poolside Bar;Ishimoto;1280
Hawaiian Club;Poolside Bar;Ishimoto;960
Hawaiian Club;Poolside Bar;Ishimoto;1280
Hawaiian Club;Poolside Bar;Ishimoto;1280
Hawaiian Club;Excursion;Ishimoto;4000
Hawaiian Club;Excursion;Ishimoto;3000
Hawaiian Club;Excursion;Ishimoto;4000
Hawaiian Club;Excursion;Ishimoto;1600
Hawaiian Club;Excursion;Ishimoto;3600
Hawaiian Club;Excursion;Ishimoto;3000
Hawaiian Club;Excursion;Ishimoto;4000
Hawaiian Club;Excursion;Ishimoto;2000
Hawaiian Club;Excursion;Ishimoto;4000
Hawaiian Club;Excursion;Ishimoto;3000
Hawaiian Club;Excursion;Ishimoto;4000
Hawaiian Club;Excursion;Ishimoto;1600
French Riviera;Hotel Room;Lingyuan;3570
French Riviera;Hotel Room;Lingyuan;4760
French Riviera;Hotel Room;Lingyuan;4080
French Riviera;Hotel Room;Lingyuan;6120
French Riviera;Hotel Room;Lingyuan;2040
French Riviera;Hotel Room;Lingyuan;3060
French Riviera;Hotel Room;Lingyuan;2720
French Riviera;Hotel Room;Lingyuan;6120
French Riviera;Hotel Room;Lingyuan;2040
French Riviera;Hotel Room;Lingyuan;3060
French Riviera;Hotel Room;Lingyuan;3060
French Riviera;Hotel Room;Lingyuan;5100
French Riviera;Restaurant;Lingyuan;1785
French Riviera;Restaurant;Lingyuan;2380
French Riviera;Restaurant;Lingyuan;1785
French Riviera;Restaurant;Lingyuan;1360
French Riviera;Restaurant;Lingyuan;1020
French Riviera;Restaurant;Lingyuan;1530
French Riviera;Restaurant;Lingyuan;1020
French Riviera;Restaurant;Lingyuan;1360
French Riviera;Restaurant;Lingyuan;1020
French Riviera;Restaurant;Lingyuan;1530
French Riviera;Restaurant;Lingyuan;1020
French Riviera;Restaurant;Lingyuan;1360
Bahamas Beach;Hotel Room;Lingyuan;5376
Bahamas Beach;Hotel Room;Lingyuan;5376
Bahamas Beach;Hotel Room;Lingyuan;4608
Bahamas Beach;Hotel Room;Lingyuan;5376
Bahamas Beach;Hotel Room;Lingyuan;5376
Bahamas Beach;Hotel Room;Lingyuan;5376
Bahamas Beach;Hotel Room;Lingyuan;4608
Bahamas Beach;Hotel Room;Lingyuan;4608
Bahamas Beach;Hotel Room;Lingyuan;4608
Bahamas Beach;Hotel Room;Lingyuan;4608
Bahamas Beach;Hotel Room;Lingyuan;4608
Bahamas Beach;Restaurant;Lingyuan;2660
Bahamas Beach;Restaurant;Lingyuan;3040
Bahamas Beach;Restaurant;Lingyuan;1520
Bahamas Beach;Restaurant;Lingyuan;2660
Bahamas Beach;Restaurant;Lingyuan;2660
Bahamas Beach;Restaurant;Lingyuan;2660
Bahamas Beach;Restaurant;Lingyuan;1900
Bahamas Beach;Restaurant;Lingyuan;1900
Bahamas Beach;Restaurant;Lingyuan;2660
Bahamas Beach;Restaurant;Lingyuan;2660
Bahamas Beach;Restaurant;Lingyuan;1520
Hawaiian Club;Hotel Room;Lingyuan;7800
Hawaiian Club;Hotel Room;Lingyuan;9360
Hawaiian Club;Hotel Room;Lingyuan;11700
Hawaiian Club;Hotel Room;Lingyuan;11700
Hawaiian Club;Hotel Room;Lingyuan;11700
Hawaiian Club;Hotel Room;Lingyuan;9360
Hawaiian Club;Hotel Room;Lingyuan;11700
Hawaiian Club;Hotel Room;Lingyuan;11700
Hawaiian Club;Hotel Room;Lingyuan;9360
Hawaiian Club;Hotel Room;Lingyuan;9360
Hawaiian Club;Hotel Room;Lingyuan;11700
Hawaiian Club;Hotel Room;Lingyuan;7800
Hawaiian Club;Restaurant;Lingyuan;4500
Hawaiian Club;Restaurant;Lingyuan;7200
Hawaiian Club;Restaurant;Lingyuan;9000
Hawaiian Club;Restaurant;Lingyuan;9000
Hawaiian Club;Restaurant;Lingyuan;9000
Hawaiian Club;Restaurant;Lingyuan;7200
Hawaiian Club;Restaurant;Yannick;9000
Hawaiian Club;Restaurant;Yannick;9000
Hawaiian Club;Restaurant;Yannick;7200
Hawaiian Club;Restaurant;Yannick;7200
Hawaiian Club;Restaurant;Yannick;9000
Hawaiian Club;Restaurant;Yannick;6000
Bahamas Beach;Hotel Suite;Yannick;10512
Bahamas Beach;Poolside Bar;Yannick;1360
Bahamas Beach;Restaurant;Yannick;2850
Bahamas Beach;Restaurant;Yannick;1900
Bahamas Beach;Restaurant;Yannick;1140
Bahamas Beach;Restaurant;Yannick;2850
Bahamas Beach;Restaurant;Yannick;3990
Bahamas Beach;Restaurant;Yannick;3990
Bahamas Beach;Bungalow;Nagata;3200
Bahamas Beach;Excursion;Nagata;1500
Australian Reef;Hotel Room;Schmidt;3250
Australian Reef;Hotel Suite;Schmidt;1160
Sydney Arborigen Resort;Hotel Room;Schmidt;6800
Sydney Arborigen Resort;Hotel Suite;Schmidt;20280
Sydney Arborigen Resort;Hotel Suite;Schmidt;5850
Sydney Arborigen Resort;Activities;Schmidt;3960
Sydney Arborigen Resort;Car Rent;Schmidt;1800
Sydney Arborigen Resort;Travel Reservation;Schmidt;7020
Sydney Arborigen Resort;Travel Reservation;Schmidt;3600
Sydney Arborigen Resort;Travel Reservation;Schmidt;1620
Sydney Millenium Beach;Bungalow;Schmidt;7500
Sydney Millenium Beach;Hotel Room;Schmidt;5000
Sydney Millenium Beach;Hotel Suite;Schmidt;260
Sydney Millenium Beach;Hotel Suite;Schmidt;7280
Sydney Millenium Beach;Fast Food;Schmidt;1600
Sydney Millenium Beach;Poolside Bar;Schmidt;124
Sydney Millenium Beach;Restaurant;Schmidt;150
Sydney Millenium Beach;Excursion;Schmidt;10000
Sydney Millenium Beach;Excursion;Schmidt;3000
Sydney Millenium Beach;Sports;Schmidt;6125
Sydney Millenium Beach;Car Rent;Schmidt;200
Sydney Millenium Beach;Travel Reservation;Schmidt;600
Sydney Millenium Beach;Travel Reservation;Schmidt;2400
Annapurna Resort;Hotel Room;Schmidt;1380
Annapurna Resort;Hotel Suite;Schmidt;2100
Annapurna Resort;Hotel Suite;Schmidt;900
Annapurna Resort;Restaurant;Schmidt;200
Annapurna Resort;Excursion;Schmidt;1260
Annapurna Resort;Sports;Schmidt;450
Annapurna Resort;Car Rent;Schmidt;900
Annapurna Resort;Travel Reservation;Schmidt;680
Everest Tibetian Resort;Bungalow;Schmidt;2250
Royal Caribbean;Hotel Room;Schmidt;11250
Royal Caribbean;Hotel Room;Schmidt;3750
Royal Caribbean;Hotel Suite;Schmidt;2040
Royal Caribbean;Hotel Suite;Schmidt;4080
Royal Caribbean;Hotel Suite;Schmidt;680
Royal Caribbean;Fast Food;Schmidt;285
Royal Caribbean;Fast Food;Schmidt;190
Royal Caribbean;Poolside Bar;Schmidt;282
Royal Caribbean;Poolside Bar;Schmidt;1269
Royal Caribbean;Poolside Bar;Schmidt;282
Royal Caribbean;Restaurant;Schmidt;480
Royal Caribbean;Activities;Schmidt;450
Royal Caribbean;Activities;Schmidt;5400
Royal Caribbean;Excursion;Schmidt;1194
Royal Caribbean;Excursion;Schmidt;398
Royal Caribbean;Sports;Schmidt;4250
Royal Caribbean;Sports;Schmidt;340
Royal Caribbean;Car Rent;Schmidt;840
Royal Caribbean;Travel Reservation;Schmidt;1350
Australian Reef;Hotel Suite;Yannick;1160
Sydney Arborigen Resort;Bungalow;Yannick;768
Sydney Arborigen Resort;Bungalow;Yannick;1920
Sydney Arborigen Resort;Hotel Room;Yannick;13600
Sydney Arborigen Resort;Hotel Room;Yannick;9520
Sydney Arborigen Resort;Hotel Suite;Yannick;390
Sydney Arborigen Resort;Poolside Bar;Yannick;119
Sydney Arborigen Resort;Poolside Bar;Yannick;3332
Sydney Arborigen Resort;Excursion;Yannick;5040
Sydney Arborigen Resort;Excursion;Yannick;630
Sydney Arborigen Resort;Excursion;Yannick;210
Sydney Arborigen Resort;Excursion;Yannick;5880
Sydney Arborigen Resort;Sports;Yannick;200
Sydney Arborigen Resort;Car Rent;Yannick;480
Sydney Arborigen Resort;Travel Reservation;Yannick;180
Sydney Millenium Beach;Bungalow;Yannick;1650
Sydney Millenium Beach;Bungalow;Yannick;1800
Sydney Millenium Beach;Bungalow;Yannick;7800
Sydney Millenium Beach;Hotel Room;Yannick;11200
Sydney Millenium Beach;Hotel Room;Yannick;7000
Sydney Millenium Beach;Hotel Room;Yannick;6600
Sydney Millenium Beach;Hotel Room;Yannick;3000
Sydney Millenium Beach;Hotel Room;Yannick;4000
Sydney Millenium Beach;Hotel Room;Yannick;3200
Sydney Millenium Beach;Hotel Suite;Yannick;2080
Sydney Millenium Beach;Hotel Suite;Yannick;14300
Sydney Millenium Beach;Hotel Suite;Yannick;9360
Sydney Millenium Beach;Fast Food;Yannick;640
Sydney Millenium Beach;Poolside Bar;Yannick;1364
Sydney Millenium Beach;Poolside Bar;Yannick;992
Sydney Millenium Beach;Poolside Bar;Yannick;2976
Sydney Millenium Beach;Poolside Bar;Yannick;620
Sydney Millenium Beach;Poolside Bar;Yannick;868
Sydney Millenium Beach;Restaurant;Yannick;1350
Sydney Millenium Beach;Restaurant;Yannick;1050
Sydney Millenium Beach;Restaurant;Yannick;2100
Sydney Millenium Beach;Activities;Yannick;720
Sydney Millenium Beach;Activities;Yannick;1440
Sydney Millenium Beach;Activities;Yannick;1200
Sydney Millenium Beach;Excursion;Yannick;1750
Sydney Millenium Beach;Excursion;Yannick;1000
Sydney Millenium Beach;Sports;Yannick;1400
Sydney Millenium Beach;Sports;Yannick;6300
Sydney Millenium Beach;Sports;Yannick;875
Sydney Millenium Beach;Sports;Yannick;2800
Sydney Millenium Beach;Car Rent;Yannick;2800
Sydney Millenium Beach;Car Rent;Yannick;2000
Sydney Millenium Beach;Car Rent;Yannick;1600
Sydney Millenium Beach;Car Rent;Yannick;3200
Sydney Millenium Beach;Travel Reservation;Yannick;600
Sydney Millenium Beach;Travel Reservation;Yannick;480
Annapurna Resort;Bungalow;Yannick;202
Annapurna Resort;Bungalow;Yannick;3535
Annapurna Resort;Hotel Room;Yannick;8970
Annapurna Resort;Hotel Room;Yannick;1840
Annapurna Resort;Hotel Room;Yannick;12880
Annapurna Resort;Hotel Room;Yannick;8970
Annapurna Resort;Hotel Suite;Yannick;9000
Annapurna Resort;Hotel Suite;Yannick;600
Annapurna Resort;Fast Food;Yannick;720
Annapurna Resort;Fast Food;Yannick;180
Annapurna Resort;Fast Food;Yannick;1620
Annapurna Resort;Fast Food;Yannick;2700
Annapurna Resort;Poolside Bar;Yannick;1694
Annapurna Resort;Poolside Bar;Yannick;242
Annapurna Resort;Restaurant;Yannick;300
Annapurna Resort;Restaurant;Yannick;200
Annapurna Resort;Restaurant;Yannick;800
Annapurna Resort;Activities;Yannick;400
Annapurna Resort;Excursion;Yannick;360
Annapurna Resort;Sports;Yannick;8400
Annapurna Resort;Sports;Yannick;300
Annapurna Resort;Sports;Yannick;3150
Annapurna Resort;Car Rent;Yannick;450
Annapurna Resort;Car Rent;Yannick;1050
Annapurna Resort;Car Rent;Yannick;300
Annapurna Resort;Travel Reservation;Yannick;3400
Annapurna Resort;Travel Reservation;Yannick;340
Annapurna Resort;Travel Reservation;Yannick;6630
Everest Tibetian Resort;Bungalow;Yannick;2400
Everest Tibetian Resort;Bungalow;Yannick;4950
Everest Tibetian Resort;Hotel Room;Yannick;6960
Everest Tibetian Resort;Hotel Room;Yannick;14500
Everest Tibetian Resort;Hotel Suite;Yannick;23010
Everest Tibetian Resort;Hotel Suite;Yannick;354
Everest Tibetian Resort;Restaurant;Yannick;2880
Everest Tibetian Resort;Restaurant;Yannick;960
Everest Tibetian Resort;Activities;Yannick;5600
Everest Tibetian Resort;Activities;Yannick;200
Everest Tibetian Resort;Excursion;Yannick;230
Everest Tibetian Resort;Sports;Yannick;2520
Everest Tibetian Resort;Sports;Yannick;1800
Everest Tibetian Resort;Car Rent;Yannick;4320
Everest Tibetian Resort;Car Rent;Yannick;1620
